NO.,Storage Location,Lot_ID,Re-Code,Material,Material Description,Base Unit of Measure,Intake Vol (kg),Remain Vol (kg),Pkg Vol,Date of Manufacture,Expire Date,Batch prepare (KG.)
48,FH,lot-2026-01-27-048,,1216450241000116,Apple Flavor GWF A01301,KG,10.326,10.326,0,26/8/2024 ,25/8/2029 ,5.4
49,FH,lot-2026-01-27-049,,1216450241000119,Vanilla Flavor 98AF8436,KG,9.91,9.91,0,11/5/2024 ,11/5/2027 ,5.4
50,FH,lot-2026-01-27-050,,1216450241000120,Vanilla Flavor A16182022,KG,12.646,12.646,0,26/8/2024 ,27/2/2026 ,5.4
51,FH,lot-2026-01-27-051,,1216450241000122,Passion fruit Flavor 54223,KG,13.512,13.512,0,1/11/2024 ,1/11/2026 ,5.4
52,FH,lot-2026-01-27-052,,1216450241000123,Passion fruit Flavor TH195967,KG,18.764,18.764,0,26/11/2025 ,26/11/2026 ,5.4
53,FH,lot-2026-01-27-053,,1216450241000125,White choc. Flavour 70FM101478,KG,20,20,0,7/11/2025 ,6/11/2026 ,5.4
54,FH,lot-2026-01-27-054,,1216450241000127,PEACH FLAVOUR 986057,KG,200,200,0,1/10/2025 ,26/9/2026 ,5.4
55,FH,lot-2026-01-27-055,,1216450241000127,PEACH FLAVOUR 986057,KG,66.574,66.574,0,7/7/2025 ,2/7/2026 ,5.4
56,FH,lot-2026-01-27-056,,1216450241000127,PEACH FLAVOUR 986057,KG,25,25,0,20/5/2025 ,15/5/2026 ,5.4
57,FH,lot-2026-01-27-057,,1216450241000127,PEACH FLAVOUR 986057,KG,24.486,24.486,0,9/1/2025 ,4/4/2026 ,5.4
58,FH,lot-2026-01-27-058,,1216450241000128,FRUIT PUNCH FLAVOUR TF68104,KG,67.16,67.16,0,1/3/2025 ,1/3/2026 ,5.4
